Bedrijfsnaam;Contactpersoon;Straatnaam;Huisnummer;Huisletter;Huistoevoeging;Postcode;Plaatsnaam
Mekus Import - Export;S. Mistdeboot;Grote Markt 125;;;;2819 HJ;Gouda
Miss Etam Operations B.V.;P. Puk;Grote Markt 183;;;;2816 AB;Gouda
Mobiel Centre marktonderzoek B.V.;J. de Wolf;Grote Markt 2;;;;2817 BC;Gouda
Moccamore;I. van Kesteren-blankevoort;Grote Markt 38;;;;2822 DE;Gouda
Multi Versshop VOF;B. van Boven;Grote Markt 42;;;;2818 ZF;Gouda
Multivlaai Retail B.V.;H.G.M. Bakker;Grote Markt 6;;;;2819 LK;Gouda
Nedgame BV;S. Mistdeboot;Hospitaaldreef 5;;;;2820 HJ;Gouda
New Yorker;P. Puk;Klokkeluiderstraat 10;;;;2817 AB;Gouda
Omnibus Adviesgroep BV;J. de Wolf;Klokkeluiderstraat 49;;;;2818 BC;Gouda
Optical Retail Group BV Het Huis, uw opticien;I. van Kesteren-blankevoort;Koetsierbaan 2;;;;2823 DE;Gouda
Pandora Jewelry BV;B. van Boven;Koetsierbaan 315;;;;2819 ZF;Gouda
Parfumerie Douglas;H.G.M. Bakker;Korte Promenade 2;;;;2820 LK;Gouda
Pearle Opticiens;S. Mistdeboot;Korte Promenade 6;;;;2821 HJ;Gouda
Perry Sport BV;P. Puk;Korte Promenade 73;;;;2818 AB;Gouda
PicturePeople BV;J. de Wolf;Kruierstraat 2;;;;2819 BC;Gouda
Pijloo&Kellerman Bv;I. van Kesteren-blankevoort;Landdrostdreef 100;;;;2824 DE;Gouda
Platenhuis de speelplaat V.o.f.;B. van Boven;Metropolestraat 23;;;;2820 ZF;Gouda
De mooie tand Tandprotheticus;H.G.M. Bakker;Muntmeesterhof 9997 P IIII II;;;;2821 LK;Gouda
Portare Retail B.V.;S. Mistdeboot;Olstgracht 19;;;;2822 HJ;Gouda
Praktijk voor Tandheelkunde;P. Puk;Olstgracht 61;;;;2819 AB;Gouda
Proeflokaal BV;J. de Wolf;Olstgracht 95;;;;2820 BC;Gouda
Rabobank;I. van Kesteren-blankevoort;Schipperplein 4;;;;2825 DE;Gouda
Rituals;B. van Boven;Schrijverstraat 7;;;;2821 ZF;Gouda
Riviera Maison B.V.;H.G.M. Bakker;Schutterstraat 1;;;;2822 LK;Gouda
Runnershigh;S. Mistdeboot;Schutterstraat 10;;;;2823 HJ;Gouda
Sacha Shoes;P. Puk;Schutterstraat 11;;;;2820 AB;Gouda
Scapino;J. de Wolf;Schutterstraat 12;;;;2821 BC;Gouda
Schep Banketbakkerij;I. van Kesteren-blankevoort;Schutterstraat 14;;;;2826 DE;Gouda
Schoonenberg Hoortoestellen;B. van Boven;Schutterstraat 15;;;;2822 ZF;Gouda
Schouwburg;H.G.M. Bakker;Schutterstraat 16;;;;2823 LK;Gouda
Score Retail Nederland B.V.;S. Mistdeboot;Schutterstraat 18 A;;;;2824 HJ;Gouda
Siebel Juweliers B.V.;P. Puk;Schutterstraat 2;;;;2821 AB;Gouda
Siempre;J. de Wolf;Schutterstraat 20;;;;2822 BC;Gouda
Six Shop;I. van Kesteren-blankevoort;Schutterstraat 21;;;;2827 DE;Gouda
Sizzling;B. van Boven;Schutterstraat 23;;;;2823 ZF;Gouda
Smulwereld;H.G.M. Bakker;Schutterstraat 27;;;;2824 LK;Gouda
Snackline Cappadocia VOF;S. Mistdeboot;Schutterstraat 3;;;;2825 HJ;Gouda
SPORT 2000 Sportpaleis;P. Puk;Schutterstraat 34;;;;2822 AB;Gouda
SRS-Company B.V.;J. de Wolf;Schutterstraat 4;;;;2823 BC;Gouda
Steps Nederland BV;I. van Kesteren-blankevoort;Schutterstraat 46;;;;2828 DE;Gouda
Stichting De goede hoop;B. van Boven;Schutterstraat 5;;;;2824 ZF;Gouda
Stichting Openbare Bibliotheek;H.G.M. Bakker;Spoordreef 62;;;;2825 LK;Gouda
De gouden ring Juweliers;S. Mistdeboot;Stadhuisplein 1;;;;2826 HJ;Gouda
Studiekring;P. Puk;Stadhuisplein 101;;;;2823 AB;Gouda
Stumpel B.V.;J. de Wolf;Stadhuisplein 2;;;;2824 BC;Gouda
Superstar BV;I. van Kesteren-blankevoort;Stadhuisplein 40;;;;2829 DE;Gouda
Team Kappers;B. van Boven;Stadhuisplein 91;;;;2825 ZF;Gouda
Telephone-Zone;H.G.M. Bakker;Stadhuisplein 92;;;;2826 LK;Gouda
Thai Go;S. Mistdeboot;Stadhuisplein 9999;;;;2827 HJ;Gouda
The Body Shop;P. Puk;Stadhuispromenade 1;;;;2824 AB;Gouda
The Society Shop B.V.;J. de Wolf;Stadhuisstraat 2;;;;2825 BC;Gouda
The Sting;I. van Kesteren-blankevoort;Stadhuisstraat 4;;;;2830 DE;Gouda
T-Mobile;B. van Boven;Stadhuisstraat 6;;;;2826 ZF;Gouda
De juweel Juweliers V.o.f.;H.G.M. Bakker;Traverse 1;;;;2827 LK;Gouda
Triumph International BV;S. Mistdeboot;Traverse 1 A;;;;2828 HJ;Gouda
De harde werker Uitzendburo BV;P. Puk;Traverse 3;;;;2825 AB;Gouda
Ulla Popken;J. de Wolf;Traverse 4;;;;2826 BC;Gouda
Unibail-Rodamco Nederlands Winkels B.V.;I. van Kesteren-blankevoort;Traverse 5;;;;2831 DE;Gouda
UPC Nederland;B. van Boven;Traverse 8;;;;2827 ZF;Gouda
Urban Greeners;H.G.M. Bakker;Wagenmakerbaan 1;;;;2828 LK;Gouda
Vitaminstore B.V.;S. Mistdeboot;Zadelmakerstraat 49;;;;2829 HJ;Gouda
WE Nederlands B.V.;P. Puk;Zadelmakerstraat 57;;;;2826 AB;Gouda
Windesheim;J. de Wolf;Zoetelaarpassage 18;;;;2827 BC;Gouda
Xenos;I. van Kesteren-blankevoort;Zoetelaarpassage 3;;;;2832 DE;Gouda
KFC - Kentuky Fried Chicken;B. van Boven;Zoetelaarpassage 40;;;;2828 ZF;Gouda
Zara Nederland;H.G.M. Bakker;Zoetelaarpassage 42;;;;2829 LK;Gouda
Ziengs schoenen BV;S. Mistdeboot;Zoetelaarpassage 46;;;;2830 HJ;Gouda
